Timestamp,Total_Cars,Grid_Density
Fri Apr  3 19:39:57 2026,998,8.0
Fri Apr  3 19:39:58 2026,1005,7.0
Fri Apr  3 19:39:58 2026,1013,8.0
Fri Apr  3 19:39:58 2026,1020,7.0
Fri Apr  3 19:39:58 2026,1027,7.0
Fri Apr  3 19:39:58 2026,1034,7.0
Fri Apr  3 19:39:58 2026,1041,7.0
Fri Apr  3 19:39:58 2026,1050,9.0
Fri Apr  3 19:39:58 2026,1057,7.0
Fri Apr  3 19:39:58 2026,1065,8.0
Fri Apr  3 19:39:58 2026,1073,8.0
Fri Apr  3 19:39:58 2026,1080,7.0
Fri Apr  3 19:39:58 2026,1087,7.0
Fri Apr  3 19:39:58 2026,1094,7.0
Fri Apr  3 19:39:59 2026,1101,7.0
Fri Apr  3 19:39:59 2026,1108,7.0
Fri Apr  3 19:39:59 2026,1116,8.0
Fri Apr  3 19:39:59 2026,1124,8.0
Fri Apr  3 19:39:59 2026,1132,8.0
Fri Apr  3 19:39:59 2026,1140,8.0
Fri Apr  3 19:39:59 2026,1148,8.0
Fri Apr  3 19:39:59 2026,1156,8.0
Fri Apr  3 19:39:59 2026,1164,8.0
Fri Apr  3 19:39:59 2026,1172,8.0
Fri Apr  3 19:39:59 2026,1180,8.0
Fri Apr  3 19:39:59 2026,1188,8.0
Fri Apr  3 19:40:00 2026,1196,8.0
Fri Apr  3 19:40:00 2026,1204,8.0
Fri Apr  3 19:40:00 2026,1212,8.0
Fri Apr  3 19:40:00 2026,1220,8.0
Fri Apr  3 19:40:00 2026,1228,8.0
Fri Apr  3 19:40:00 2026,1236,8.0
Fri Apr  3 19:40:00 2026,1244,8.0
Fri Apr  3 19:40:00 2026,1252,8.0
Fri Apr  3 19:40:00 2026,1259,7.0
Fri Apr  3 19:40:00 2026,1266,7.0
Fri Apr  3 19:40:00 2026,1273,7.0
Fri Apr  3 19:40:01 2026,1280,7.0
Fri Apr  3 19:40:01 2026,1287,7.0
Fri Apr  3 19:40:01 2026,1295,8.0
Fri Apr  3 19:40:01 2026,1304,9.0
Fri Apr  3 19:40:01 2026,1310,6.0
Fri Apr  3 19:40:01 2026,1318,8.0
Fri Apr  3 19:40:01 2026,1327,9.0
Fri Apr  3 19:40:01 2026,1335,8.0
Fri Apr  3 19:40:01 2026,1342,7.0
Fri Apr  3 19:40:02 2026,1349,7.0
Fri Apr  3 19:40:02 2026,1357,8.0
Fri Apr  3 19:40:02 2026,1366,9.0
Fri Apr  3 19:40:02 2026,1375,9.0
Fri Apr  3 19:40:02 2026,1384,9.0
Fri Apr  3 19:40:02 2026,1393,9.0
Fri Apr  3 19:40:02 2026,1402,9.0
Fri Apr  3 19:40:02 2026,1411,9.0
Fri Apr  3 19:40:02 2026,1419,8.0
Fri Apr  3 19:40:03 2026,1427,8.0
Fri Apr  3 19:40:03 2026,1436,9.0
Fri Apr  3 19:40:03 2026,1445,9.0
Fri Apr  3 19:40:03 2026,1454,9.0
Fri Apr  3 19:40:03 2026,1463,9.0
Fri Apr  3 19:40:03 2026,1470,7.0
Fri Apr  3 19:40:03 2026,1478,8.0
Fri Apr  3 19:40:03 2026,1485,7.0
Fri Apr  3 19:40:03 2026,1492,7.0
Fri Apr  3 19:40:04 2026,1499,7.0
Fri Apr  3 19:40:04 2026,1506,7.0
Fri Apr  3 19:40:04 2026,1513,7.0
Fri Apr  3 19:40:04 2026,1521,8.0
Fri Apr  3 19:40:04 2026,1529,8.0
Fri Apr  3 19:40:04 2026,1537,8.0
Fri Apr  3 19:40:04 2026,1545,8.0
Fri Apr  3 19:40:04 2026,1553,8.0
Fri Apr  3 19:40:04 2026,1561,8.0
Fri Apr  3 19:40:05 2026,1569,8.0
Fri Apr  3 19:40:05 2026,1576,7.0
Fri Apr  3 19:40:05 2026,1583,7.0
Fri Apr  3 19:40:05 2026,1590,7.0
Fri Apr  3 19:40:05 2026,1597,7.0
Fri Apr  3 19:40:05 2026,1604,7.0
Fri Apr  3 19:40:05 2026,1611,7.0
Fri Apr  3 19:40:05 2026,1618,7.0
Fri Apr  3 19:40:05 2026,1625,7.0
Fri Apr  3 19:40:06 2026,1632,7.0
Fri Apr  3 19:40:06 2026,1638,6.0
Fri Apr  3 19:40:06 2026,1645,7.0
Fri Apr  3 19:40:06 2026,1651,6.0
Fri Apr  3 19:40:06 2026,1658,7.0
Fri Apr  3 19:40:06 2026,1664,6.0
Fri Apr  3 19:40:06 2026,1670,6.0
Fri Apr  3 19:40:06 2026,1678,8.0
Fri Apr  3 19:40:06 2026,1686,8.0
Fri Apr  3 19:40:07 2026,1693,7.0
Fri Apr  3 19:40:07 2026,1700,7.0
Fri Apr  3 19:40:07 2026,1707,7.0
Fri Apr  3 19:40:07 2026,1714,7.0
Fri Apr  3 19:40:07 2026,1720,6.0
Fri Apr  3 19:40:07 2026,1727,7.0
Fri Apr  3 19:40:07 2026,1735,8.0
Fri Apr  3 19:40:07 2026,1743,8.0
Fri Apr  3 19:40:07 2026,1751,8.0
Fri Apr  3 19:40:08 2026,1758,7.0
Fri Apr  3 19:40:08 2026,1765,7.0
Fri Apr  3 19:40:08 2026,1771,6.0
Fri Apr  3 19:40:08 2026,1777,6.0
Fri Apr  3 19:40:08 2026,1784,7.0
Fri Apr  3 19:40:08 2026,1791,7.0
Fri Apr  3 19:40:08 2026,1798,7.0
Fri Apr  3 19:40:08 2026,1803,5.0
Fri Apr  3 19:40:08 2026,1809,6.0
Fri Apr  3 19:40:09 2026,1816,7.0
Fri Apr  3 19:40:09 2026,1822,6.0
Fri Apr  3 19:40:09 2026,1829,7.0
Fri Apr  3 19:40:09 2026,1837,8.0
Fri Apr  3 19:40:09 2026,1844,7.0
Fri Apr  3 19:40:09 2026,1852,8.0
Fri Apr  3 19:40:09 2026,1860,8.0
Fri Apr  3 19:40:09 2026,1868,8.0
Fri Apr  3 19:40:09 2026,1876,8.0
Fri Apr  3 19:40:10 2026,1884,8.0
Fri Apr  3 19:40:10 2026,1892,8.0
Fri Apr  3 19:40:10 2026,1901,9.0
Fri Apr  3 19:40:10 2026,1910,9.0
Fri Apr  3 19:40:10 2026,1919,9.0
Fri Apr  3 19:40:10 2026,1927,8.0
Fri Apr  3 19:40:10 2026,1935,8.0
Fri Apr  3 19:40:10 2026,1943,8.0
Fri Apr  3 19:40:10 2026,1951,8.0
Fri Apr  3 19:40:11 2026,1959,8.0
Fri Apr  3 19:40:11 2026,1967,8.0
Fri Apr  3 19:40:11 2026,1975,8.0
Fri Apr  3 19:40:11 2026,1982,7.0
Fri Apr  3 19:40:11 2026,1988,6.0
Fri Apr  3 19:40:11 2026,1995,7.0
Fri Apr  3 19:40:11 2026,2002,7.0
Fri Apr  3 19:40:11 2026,2009,7.0
Fri Apr  3 19:40:11 2026,2016,7.0
Fri Apr  3 19:40:12 2026,2023,7.0
Fri Apr  3 19:40:12 2026,2030,7.0
Fri Apr  3 19:40:12 2026,2037,7.0
Fri Apr  3 19:40:12 2026,2044,7.0
Fri Apr  3 19:40:12 2026,2051,7.0
Fri Apr  3 19:40:12 2026,2058,7.0
Fri Apr  3 19:40:12 2026,2065,7.0
Fri Apr  3 19:40:12 2026,2072,7.0
Fri Apr  3 19:40:12 2026,2079,7.0
Fri Apr  3 19:40:13 2026,2086,7.0
Fri Apr  3 19:40:13 2026,2093,7.0
Fri Apr  3 19:40:13 2026,2100,7.0
Fri Apr  3 19:40:13 2026,2107,7.0
Fri Apr  3 19:40:13 2026,2113,6.0
Fri Apr  3 19:40:13 2026,2121,8.0
Fri Apr  3 19:40:13 2026,2128,7.0
Fri Apr  3 19:40:13 2026,2136,8.0
Fri Apr  3 19:40:13 2026,2143,7.0
Fri Apr  3 19:40:14 2026,2150,7.0
Fri Apr  3 19:40:14 2026,2157,7.0
Fri Apr  3 19:40:14 2026,2164,7.0
Fri Apr  3 19:40:14 2026,2171,7.0
Fri Apr  3 19:40:14 2026,2179,8.0
Fri Apr  3 19:40:14 2026,2187,8.0
Fri Apr  3 19:40:14 2026,2195,8.0
Fri Apr  3 19:40:14 2026,2202,7.0
Fri Apr  3 19:40:14 2026,2209,7.0
Fri Apr  3 19:40:15 2026,2216,7.0
Fri Apr  3 19:40:15 2026,2224,8.0
Fri Apr  3 19:40:15 2026,2231,7.0
Fri Apr  3 19:40:15 2026,2238,7.0
Fri Apr  3 19:40:15 2026,2245,7.0
Fri Apr  3 19:40:15 2026,2251,6.0
Fri Apr  3 19:40:15 2026,2257,6.0
Fri Apr  3 19:40:15 2026,2263,6.0
Fri Apr  3 19:40:15 2026,2269,6.0
Fri Apr  3 19:40:16 2026,2275,6.0
Fri Apr  3 19:40:16 2026,2281,6.0
Fri Apr  3 19:40:16 2026,2287,6.0
Fri Apr  3 19:40:16 2026,2293,6.0
Fri Apr  3 19:40:16 2026,2299,6.0
Fri Apr  3 19:40:16 2026,2305,6.0
Fri Apr  3 19:40:16 2026,2311,6.0
Fri Apr  3 19:40:16 2026,2318,7.0
Fri Apr  3 19:40:16 2026,2325,7.0
Fri Apr  3 19:40:17 2026,2331,6.0
Fri Apr  3 19:40:17 2026,2338,7.0
Fri Apr  3 19:40:17 2026,2346,8.0
Fri Apr  3 19:40:17 2026,2353,7.0
Fri Apr  3 19:40:17 2026,2359,6.0
Fri Apr  3 19:40:17 2026,2366,7.0
Fri Apr  3 19:40:17 2026,2372,6.0
Fri Apr  3 19:40:17 2026,2378,6.0
Fri Apr  3 19:40:17 2026,2384,6.0
Fri Apr  3 19:40:18 2026,2390,6.0
Fri Apr  3 19:40:18 2026,2396,6.0
Fri Apr  3 19:40:18 2026,2402,6.0
Fri Apr  3 19:40:18 2026,2408,6.0
Fri Apr  3 19:40:18 2026,2415,7.0
Fri Apr  3 19:40:18 2026,2421,6.0
Fri Apr  3 19:40:18 2026,2428,7.0
Fri Apr  3 19:40:18 2026,2435,7.0
Fri Apr  3 19:40:18 2026,2442,7.0
Fri Apr  3 19:40:19 2026,2449,7.0
Fri Apr  3 19:40:19 2026,2455,6.0
Fri Apr  3 19:40:19 2026,2461,6.0
Fri Apr  3 19:40:19 2026,2467,6.0
Fri Apr  3 19:40:19 2026,2473,6.0
Fri Apr  3 19:40:19 2026,2480,7.0
Fri Apr  3 19:40:19 2026,2486,6.0
Fri Apr  3 19:40:19 2026,2493,7.0
Fri Apr  3 19:40:19 2026,2499,6.0
Fri Apr  3 19:40:20 2026,2505,6.0
Fri Apr  3 19:40:20 2026,2510,5.0
Fri Apr  3 19:40:20 2026,2515,5.0
Fri Apr  3 19:40:20 2026,2520,5.0
Fri Apr  3 19:40:20 2026,2525,5.0
Fri Apr  3 19:40:20 2026,2531,6.0
Fri Apr  3 19:40:20 2026,2536,5.0
Fri Apr  3 19:40:20 2026,2541,5.0
Fri Apr  3 19:40:20 2026,2547,6.0
Fri Apr  3 19:40:21 2026,2553,6.0
Fri Apr  3 19:40:21 2026,2559,6.0
Fri Apr  3 19:40:21 2026,2565,6.0
Fri Apr  3 19:40:21 2026,2570,5.0
Fri Apr  3 19:40:21 2026,2575,5.0
Fri Apr  3 19:40:21 2026,2580,5.0
Fri Apr  3 19:40:21 2026,2585,5.0
Fri Apr  3 19:40:21 2026,2590,5.0
Fri Apr  3 19:40:21 2026,2595,5.0
Fri Apr  3 19:40:22 2026,2600,5.0
Fri Apr  3 19:40:22 2026,2605,5.0
Fri Apr  3 19:40:22 2026,2611,6.0
Fri Apr  3 19:40:22 2026,2616,5.0
Fri Apr  3 19:40:22 2026,2620,4.0
Fri Apr  3 19:40:22 2026,2628,8.0
Fri Apr  3 19:40:22 2026,2636,8.0
Fri Apr  3 19:40:22 2026,2644,8.0
Fri Apr  3 19:40:23 2026,2652,8.0
Fri Apr  3 19:40:23 2026,2660,8.0
Fri Apr  3 19:40:23 2026,2669,9.0
Fri Apr  3 19:40:23 2026,2679,10.0
Fri Apr  3 19:40:23 2026,2689,10.0
Fri Apr  3 19:40:23 2026,2699,10.0
Fri Apr  3 19:40:23 2026,2709,10.0
Fri Apr  3 19:40:23 2026,2719,10.0
Fri Apr  3 19:40:23 2026,2727,8.0
Fri Apr  3 19:40:24 2026,2736,9.0
Fri Apr  3 19:40:24 2026,2745,9.0
Fri Apr  3 19:40:24 2026,2755,10.0
Fri Apr  3 19:40:24 2026,2766,11.0
Fri Apr  3 19:40:24 2026,2777,11.0
Fri Apr  3 19:40:24 2026,2785,8.0
Fri Apr  3 19:40:24 2026,2794,9.0
Fri Apr  3 19:40:24 2026,2804,10.0
Fri Apr  3 19:40:24 2026,2812,8.0
Fri Apr  3 19:40:25 2026,2820,8.0
Fri Apr  3 19:40:25 2026,2828,8.0
Fri Apr  3 19:40:25 2026,2837,9.0
Fri Apr  3 19:40:25 2026,2846,9.0
Fri Apr  3 19:40:25 2026,2854,8.0
Fri Apr  3 19:40:25 2026,2862,8.0
Fri Apr  3 19:40:25 2026,2870,8.0
Fri Apr  3 19:40:25 2026,2878,8.0
Fri Apr  3 19:40:25 2026,2887,9.0
Fri Apr  3 19:40:26 2026,2894,7.0
Fri Apr  3 19:40:26 2026,2900,6.0
Fri Apr  3 19:40:26 2026,2906,6.0
Fri Apr  3 19:40:26 2026,2913,7.0
Fri Apr  3 19:40:26 2026,2920,7.0
Fri Apr  3 19:40:26 2026,2926,6.0
Fri Apr  3 19:40:26 2026,2935,9.0
Fri Apr  3 19:40:26 2026,2944,9.0
Fri Apr  3 19:40:26 2026,2952,8.0
Fri Apr  3 19:40:27 2026,2961,9.0
Fri Apr  3 19:40:27 2026,2970,9.0
Fri Apr  3 19:40:27 2026,2979,9.0
Fri Apr  3 19:40:27 2026,2988,9.0
Fri Apr  3 19:40:27 2026,2997,9.0
Fri Apr  3 19:40:27 2026,3006,9.0
Fri Apr  3 19:40:27 2026,3015,9.0
Fri Apr  3 19:40:27 2026,3024,9.0
Fri Apr  3 19:40:27 2026,3033,9.0
Fri Apr  3 19:40:28 2026,3042,9.0
Fri Apr  3 19:40:28 2026,3051,9.0
Fri Apr  3 19:40:28 2026,3060,9.0
Fri Apr  3 19:40:28 2026,3068,8.0
Fri Apr  3 19:40:28 2026,3076,8.0
Fri Apr  3 19:40:28 2026,3083,7.0
Fri Apr  3 19:40:28 2026,3090,7.0
Fri Apr  3 19:40:28 2026,3097,7.0
Fri Apr  3 19:40:28 2026,3104,7.0
Fri Apr  3 19:40:29 2026,3111,7.0
Fri Apr  3 19:40:29 2026,3118,7.0
Fri Apr  3 19:40:29 2026,3124,6.0
Fri Apr  3 19:40:29 2026,3131,7.0
Fri Apr  3 19:40:29 2026,3139,8.0
Fri Apr  3 19:40:29 2026,3147,8.0
Fri Apr  3 19:40:29 2026,3155,8.0
Fri Apr  3 19:40:29 2026,3163,8.0
Fri Apr  3 19:40:29 2026,3170,7.0
Fri Apr  3 19:40:30 2026,3177,7.0
Fri Apr  3 19:40:30 2026,3187,10.0
Fri Apr  3 19:40:30 2026,3196,9.0
Fri Apr  3 19:40:30 2026,3206,10.0
Fri Apr  3 19:40:30 2026,3215,9.0
Fri Apr  3 19:40:30 2026,3225,10.0
Fri Apr  3 19:40:30 2026,3234,9.0
Fri Apr  3 19:40:30 2026,3243,9.0
Fri Apr  3 19:40:30 2026,3252,9.0
Fri Apr  3 19:40:31 2026,3261,9.0
Fri Apr  3 19:40:31 2026,3270,9.0
Fri Apr  3 19:40:31 2026,3279,9.0
Fri Apr  3 19:40:31 2026,3288,9.0
Fri Apr  3 19:40:31 2026,3297,9.0
Fri Apr  3 19:40:31 2026,3306,9.0
Fri Apr  3 19:40:31 2026,3315,9.0
Fri Apr  3 19:40:31 2026,3324,9.0
Fri Apr  3 19:40:31 2026,3333,9.0
Fri Apr  3 19:40:32 2026,3342,9.0
Fri Apr  3 19:40:32 2026,3351,9.0
Fri Apr  3 19:40:32 2026,3360,9.0
Fri Apr  3 19:40:32 2026,3369,9.0
Fri Apr  3 19:40:32 2026,3378,9.0
Fri Apr  3 19:40:32 2026,3387,9.0
Fri Apr  3 19:40:32 2026,3396,9.0
Fri Apr  3 19:40:32 2026,3405,9.0
Fri Apr  3 19:40:32 2026,3414,9.0
Fri Apr  3 19:40:33 2026,3422,8.0
Fri Apr  3 19:40:33 2026,3430,8.0
Fri Apr  3 19:40:33 2026,3439,9.0
Fri Apr  3 19:40:33 2026,3447,8.0
Fri Apr  3 19:40:33 2026,3457,10.0
Fri Apr  3 19:40:33 2026,3466,9.0
Fri Apr  3 19:40:33 2026,3475,9.0
Fri Apr  3 19:40:33 2026,3485,10.0
Fri Apr  3 19:40:33 2026,3495,10.0
Fri Apr  3 19:40:34 2026,3505,10.0
Fri Apr  3 19:40:34 2026,3515,10.0
Fri Apr  3 19:40:34 2026,3524,9.0
Fri Apr  3 19:40:34 2026,3533,9.0
Fri Apr  3 19:40:34 2026,3540,7.0
Fri Apr  3 19:40:34 2026,3547,7.0
Fri Apr  3 19:40:34 2026,3555,8.0
Fri Apr  3 19:40:34 2026,3562,7.0
Fri Apr  3 19:40:34 2026,3570,8.0
Fri Apr  3 19:40:35 2026,3578,8.0
Fri Apr  3 19:40:35 2026,3586,8.0
Fri Apr  3 19:40:35 2026,3594,8.0
Fri Apr  3 19:40:35 2026,3602,8.0
Fri Apr  3 19:40:35 2026,3610,8.0
Fri Apr  3 19:40:35 2026,3618,8.0
Fri Apr  3 19:40:35 2026,3625,7.0
Fri Apr  3 19:40:35 2026,3633,8.0
Fri Apr  3 19:40:35 2026,3640,7.0
Fri Apr  3 19:40:36 2026,3647,7.0
Fri Apr  3 19:40:36 2026,3654,7.0
Fri Apr  3 19:40:36 2026,3661,7.0
Fri Apr  3 19:40:36 2026,3670,9.0
Fri Apr  3 19:40:36 2026,3677,7.0
Fri Apr  3 19:40:36 2026,3685,8.0
Fri Apr  3 19:40:36 2026,3693,8.0
Fri Apr  3 19:40:36 2026,3700,7.0
Fri Apr  3 19:40:36 2026,3707,7.0
Fri Apr  3 19:40:37 2026,3714,7.0
Fri Apr  3 19:40:37 2026,3721,7.0
Fri Apr  3 19:40:37 2026,3728,7.0
Fri Apr  3 19:40:37 2026,3736,8.0
Fri Apr  3 19:40:37 2026,3744,8.0
Fri Apr  3 19:40:37 2026,3752,8.0
Fri Apr  3 19:40:37 2026,3760,8.0
Fri Apr  3 19:40:37 2026,3768,8.0
Fri Apr  3 19:40:37 2026,3776,8.0
Fri Apr  3 19:40:38 2026,3784,8.0
Fri Apr  3 19:40:38 2026,3792,8.0
Fri Apr  3 19:40:38 2026,3800,8.0
Fri Apr  3 19:40:38 2026,3808,8.0
Fri Apr  3 19:40:38 2026,3816,8.0
Fri Apr  3 19:40:38 2026,3824,8.0
Fri Apr  3 19:40:38 2026,3832,8.0
Fri Apr  3 19:40:38 2026,3840,8.0
Fri Apr  3 19:40:38 2026,3848,8.0
Fri Apr  3 19:40:39 2026,3856,8.0
Fri Apr  3 19:40:39 2026,3864,8.0
Fri Apr  3 19:40:39 2026,3872,8.0
Fri Apr  3 19:40:39 2026,3879,7.0
Fri Apr  3 19:40:39 2026,3886,7.0
Fri Apr  3 19:40:39 2026,3893,7.0
Fri Apr  3 19:40:39 2026,3900,7.0
Fri Apr  3 19:40:39 2026,3907,7.0
Fri Apr  3 19:40:39 2026,3915,8.0
Fri Apr  3 19:40:40 2026,3924,9.0
Fri Apr  3 19:40:40 2026,3930,6.0
Fri Apr  3 19:40:40 2026,3938,8.0
Fri Apr  3 19:40:40 2026,3947,9.0
Fri Apr  3 19:40:40 2026,3955,8.0
Fri Apr  3 19:40:40 2026,3962,7.0
Fri Apr  3 19:40:40 2026,3969,7.0
Fri Apr  3 19:40:40 2026,3977,8.0
Fri Apr  3 19:40:40 2026,3986,9.0
Fri Apr  3 19:40:41 2026,3995,9.0
Fri Apr  3 19:40:41 2026,4004,9.0
Fri Apr  3 19:40:41 2026,4013,9.0
Fri Apr  3 19:40:41 2026,4022,9.0
Fri Apr  3 19:40:41 2026,4031,9.0
Fri Apr  3 19:40:41 2026,4039,8.0
Fri Apr  3 19:40:41 2026,4047,8.0
Fri Apr  3 19:40:41 2026,4056,9.0
Fri Apr  3 19:40:41 2026,4065,9.0
Fri Apr  3 19:40:42 2026,4074,9.0
Fri Apr  3 19:40:42 2026,4083,9.0
Fri Apr  3 19:40:42 2026,4090,7.0
Fri Apr  3 19:40:42 2026,4098,8.0
Fri Apr  3 19:40:42 2026,4105,7.0
Fri Apr  3 19:40:42 2026,4112,7.0
Fri Apr  3 19:40:42 2026,4119,7.0
Fri Apr  3 19:40:42 2026,4126,7.0
Fri Apr  3 19:40:42 2026,4133,7.0
Fri Apr  3 19:40:43 2026,4141,8.0
Fri Apr  3 19:40:43 2026,4149,8.0
Fri Apr  3 19:40:43 2026,4157,8.0
Fri Apr  3 19:40:43 2026,4165,8.0
Fri Apr  3 19:40:43 2026,4173,8.0
Fri Apr  3 19:40:43 2026,4181,8.0
Fri Apr  3 19:40:43 2026,4189,8.0
Fri Apr  3 19:40:43 2026,4196,7.0
Fri Apr  3 19:40:43 2026,4203,7.0
Fri Apr  3 19:40:44 2026,4210,7.0
Fri Apr  3 19:40:44 2026,4217,7.0
Fri Apr  3 19:40:44 2026,4224,7.0
Fri Apr  3 19:40:44 2026,4231,7.0
Fri Apr  3 19:40:44 2026,4238,7.0
Fri Apr  3 19:40:44 2026,4245,7.0
Fri Apr  3 19:40:44 2026,4252,7.0
Fri Apr  3 19:40:44 2026,4258,6.0
Fri Apr  3 19:40:44 2026,4265,7.0
Fri Apr  3 19:40:44 2026,4271,6.0
Fri Apr  3 19:40:45 2026,4278,7.0
Fri Apr  3 19:40:45 2026,4284,6.0
Fri Apr  3 19:40:45 2026,4290,6.0
Fri Apr  3 19:40:45 2026,4298,8.0
Fri Apr  3 19:40:45 2026,4306,8.0
Fri Apr  3 19:40:45 2026,4313,7.0
Fri Apr  3 19:40:45 2026,4320,7.0
Fri Apr  3 19:40:45 2026,4327,7.0
Fri Apr  3 19:40:45 2026,4334,7.0
Fri Apr  3 19:40:46 2026,4340,6.0
Fri Apr  3 19:40:46 2026,4347,7.0
Fri Apr  3 19:40:46 2026,4355,8.0
Fri Apr  3 19:40:46 2026,4363,8.0
Fri Apr  3 19:40:46 2026,4371,8.0
